 	\u0020	alt-032	SPACE
┻	\u253B	alt-09531	BOX DRAWINGS HEAVY UP AND HORIZONTAL
┼	\u253C	alt-09532	BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL = Videotex Mosaic DG 24
┽	\u253D	alt-09533	BOX DRAWINGS LEFT HEAVY AND RIGHT VERTICAL LIGHT
┾	\u253E	alt-09534	BOX DRAWINGS RIGHT HEAVY AND LEFT VERTICAL LIGHT
┿	\u253F	alt-09535	BOX DRAWINGS VERTICAL LIGHT AND HORIZONTAL HEAVY = Videotex Mosaic DG 13
╀	\u2540	alt-09536	BOX DRAWINGS UP HEAVY AND DOWN HORIZONTAL LIGHT
╁	\u2541	alt-09537	BOX DRAWINGS DOWN HEAVY AND UP HORIZONTAL LIGHT
╂	\u2542	alt-09538	BOX DRAWINGS VERTICAL HEAVY AND HORIZONTAL LIGHT
╃	\u2543	alt-09539	BOX DRAWINGS LEFT UP HEAVY AND RIGHT DOWN LIGHT
╄	\u2544	alt-09540	BOX DRAWINGS RIGHT UP HEAVY AND LEFT DOWN LIGHT
╅	\u2545	alt-09541	BOX DRAWINGS LEFT DOWN HEAVY AND RIGHT UP LIGHT
╆	\u2546	alt-09542	BOX DRAWINGS RIGHT DOWN HEAVY AND LEFT UP LIGHT
╇	\u2547	alt-09543	BOX DRAWINGS DOWN LIGHT AND UP HORIZONTAL HEAVY
╈	\u2548	alt-09544	BOX DRAWINGS UP LIGHT AND DOWN HORIZONTAL HEAVY
╉	\u2549	alt-09545	BOX DRAWINGS RIGHT LIGHT AND LEFT VERTICAL HEAVY
╊	\u254A	alt-09546	BOX DRAWINGS LEFT LIGHT AND RIGHT VERTICAL HEAVY
╋	\u254B	alt-09547	BOX DRAWINGS HEAVY VERTICAL AND HORIZONTAL
Light and heavy dashed lines

╌	\u254C	alt-09548	BOX DRAWINGS LIGHT DOUBLE DASH HORIZONTAL
╍	\u254D	alt-09549	BOX DRAWINGS HEAVY DOUBLE DASH HORIZONTAL
╎	\u254E	alt-09550	BOX DRAWINGS LIGHT DOUBLE DASH VERTICAL
╏	\u254F	alt-09551	BOX DRAWINGS HEAVY DOUBLE DASH VERTICAL
Double lines

═	\u2550	alt-09552	BOX DRAWINGS DOUBLE HORIZONTAL
║	\u2551	alt-09553	BOX DRAWINGS DOUBLE VERTICAL
Light and double line box components

╒	\u2552	alt-09554	BOX DRAWINGS DOWN SINGLE AND RIGHT DOUBLE
╓	\u2553	alt-09555	BOX DRAWINGS DOWN DOUBLE AND RIGHT SINGLE
╔	\u2554	alt-09556	BOX DRAWINGS DOUBLE DOWN AND RIGHT
╕	\u2555	alt-09557	BOX DRAWINGS DOWN SINGLE AND LEFT DOUBLE
╖	\u2556	alt-09558	BOX DRAWINGS DOWN DOUBLE AND LEFT SINGLE
╗	\u2557	alt-09559	BOX DRAWINGS DOUBLE DOWN AND LEFT
╘	\u2558	alt-09560	BOX DRAWINGS UP SINGLE AND RIGHT DOUBLE
╙	\u2559	alt-09561	BOX DRAWINGS UP DOUBLE AND RIGHT SINGLE
╚	\u255A	alt-09562	BOX DRAWINGS DOUBLE UP AND RIGHT
╛	\u255B	alt-09563	BOX DRAWINGS UP SINGLE AND LEFT DOUBLE
╜	\u255C	alt-09564	BOX DRAWINGS UP DOUBLE AND LEFT SINGLE
╝	\u255D	alt-09565	BOX DRAWINGS DOUBLE UP AND LEFT
╞	\u255E	alt-09566	BOX DRAWINGS VERTICAL SINGLE AND RIGHT DOUBLE
╟	\u255F	alt-09567	BOX DRAWINGS VERTICAL DOUBLE AND RIGHT SINGLE
╠	\u2560	alt-09568	BOX DRAWINGS DOUBLE VERTICAL AND RIGHT
╡	\u2561	alt-09569	BOX DRAWINGS VERTICAL SINGLE AND LEFT DOUBLE
╢	\u2562	alt-09570	BOX DRAWINGS VERTICAL DOUBLE AND LEFT SINGLE
╣	\u2563	alt-09571	BOX DRAWINGS DOUBLE VERTICAL AND LEFT
╤	\u2564	alt-09572	BOX DRAWINGS DOWN SINGLE AND HORIZONTAL DOUBLE
╥	\u2565	alt-09573	BOX DRAWINGS DOWN DOUBLE AND HORIZONTAL SINGLE
╦	\u2566	alt-09574	BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL
╧	\u2567	alt-09575	BOX DRAWINGS UP SINGLE AND HORIZONTAL DOUBLE
╨	\u2568	alt-09576	BOX DRAWINGS UP DOUBLE AND HORIZONTAL SINGLE
╩	\u2569	alt-09577	BOX DRAWINGS DOUBLE UP AND HORIZONTAL
╪	\u256A	alt-09578	BOX DRAWINGS VERTICAL SINGLE AND HORIZONTAL DOUBLE
╫	\u256B	alt-09579	BOX DRAWINGS VERTICAL DOUBLE AND HORIZONTAL SINGLE
╬	\u256C	alt-09580	BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL
Character cell arcs

╭	\u256D	alt-09581	BOX DRAWINGS LIGHT ARC DOWN AND RIGHT
╮	\u256E	alt-09582	BOX DRAWINGS LIGHT ARC DOWN AND LEFT
╯	\u256F	alt-09583	BOX DRAWINGS LIGHT ARC UP AND LEFT
╰	\u2570	alt-09584	BOX DRAWINGS LIGHT ARC UP AND RIGHT
Character cell diagonals

╱	\u2571	alt-09585	BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER LEFT
╲	\u2572	alt-09586	BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER RIGHT
╳	\u2573	alt-09587	BOX DRAWINGS LIGHT DIAGONAL CROSS
Light and heavy half lines

╴	\u2574	alt-09588	BOX DRAWINGS LIGHT LEFT
╵	\u2575	alt-09589	BOX DRAWINGS LIGHT UP
╶	\u2576	alt-09590	BOX DRAWINGS LIGHT RIGHT
╷	\u2577	alt-09591	BOX DRAWINGS LIGHT DOWN
╸	\u2578	alt-09592	BOX DRAWINGS HEAVY LEFT
╹	\u2579	alt-09593	BOX DRAWINGS HEAVY UP
╺	\u257A	alt-09594	BOX DRAWINGS HEAVY RIGHT
╻	\u257B	alt-09595	BOX DRAWINGS HEAVY DOWN
Mixed light and heavy lines

╼	\u257C	alt-09596	BOX DRAWINGS LIGHT LEFT AND HEAVY RIGHT
╽	\u257D	alt-09597	BOX DRAWINGS LIGHT UP AND HEAVY DOWN
╾	\u257E	alt-09598	BOX DRAWINGS HEAVY LEFT AND LIGHT RIGHT
╿	\u257F	alt-09599	BOX DRAWINGS HEAVY UP AND LIGHT DOWN
Block elements

▀	\u2580	alt-09600	UPPER HALF BLOCK
▁	\u2581	alt-09601	LOWER ONE EIGHTH BLOCK
▂	\u2582	alt-09602	LOWER ONE QUARTER BLOCK
▃	\u2583	alt-09603	LOWER THREE EIGHTHS BLOCK
▄	\u2584	alt-09604	LOWER HALF BLOCK
▅	\u2585	alt-09605	LOWER FIVE EIGHTHS BLOCK
▆	\u2586	alt-09606	LOWER THREE QUARTERS BLOCK
▇	\u2587	alt-09607	LOWER SEVEN EIGHTHS BLOCK
█	\u2588	alt-09608	FULL BLOCK = solid
▉	\u2589	alt-09609	LEFT SEVEN EIGHTHS BLOCK
▊	\u258A	alt-09610	LEFT THREE QUARTERS BLOCK
▋	\u258B	alt-09611	LEFT FIVE EIGHTHS BLOCK
▌	\u258C	alt-09612	LEFT HALF BLOCK
▍	\u258D	alt-09613	LEFT THREE EIGHTHS BLOCK
▎	\u258E	alt-09614	LEFT ONE QUARTER BLOCK
▏	\u258F	alt-09615	LEFT ONE EIGHTH BLOCK
▐	\u2590	alt-09616	RIGHT HALF BLOCK
Shade characters

░	\u2591	alt-09617	LIGHT SHADE
▒	\u2592	alt-09618	MEDIUM SHADE
▓	\u2593	alt-09619	DARK SHADE
Block elements

▔	\u2594	alt-09620	UPPER ONE EIGHTH BLOCK
▕	\u2595	alt-09621	RIGHT ONE EIGHTH BLOCK
Terminal graphic characters

▖	\u2596	alt-09622	QUADRANT LOWER LEFT
▗	\u2597	alt-09623	QUADRANT LOWER RIGHT
▘	\u2598	alt-09624	QUADRANT UPPER LEFT
▙	\u2599	alt-09625	QUADRANT UPPER LEFT AND LOWER LEFT AND LOWER RIGHT
▚	\u259A	alt-09626	QUADRANT UPPER LEFT AND LOWER RIGHT
▛	\u259B	alt-09627	QUADRANT UPPER LEFT AND UPPER RIGHT AND LOWER LEFT
▜	\u259C	alt-09628	QUADRANT UPPER LEFT AND UPPER RIGHT AND LOWER RIGHT
▝	\u259D	alt-09629	QUADRANT UPPER RIGHT
▞	\u259E	alt-09630	QUADRANT UPPER RIGHT AND LOWER LEFT
▟	\u259F	alt-09631	QUADRANT UPPER RIGHT AND LOWER LEFT AND LOWER RIGHT
Geometric shapes Other geometric shapes complementing this set are found in the Miscellaneous Symbols and Arrows block.

■	\u25A0	alt-09632	BLACK SQUARE = moding mark in ideographic text
□	\u25A1	alt-09633	WHITE SQUARE = quadrature = alchemical symbol for salt
▢	\u25A2	alt-09634	WHITE SQUARE WITH ROUNDED CORNERS
▣	\u25A3	alt-09635	WHITE SQUARE CONTAINING BLACK SMALL SQUARE
▤	\u25A4	alt-09636	SQUARE WITH HORIZONTAL FILL
▥	\u25A5	alt-09637	SQUARE WITH VERTICAL FILL
▦	\u25A6	alt-09638	SQUARE WITH ORTHOGONAL CROSSHATCH FILL
▧	\u25A7	alt-09639	SQUARE WITH UPPER LEFT TO LOWER RIGHT FILL
▨	\u25A8	alt-09640	SQUARE WITH UPPER RIGHT TO LOWER LEFT FILL
▩	\u25A9	alt-09641	SQUARE WITH DIAGONAL CROSSHATCH FILL
▪	\u25AA	alt-09642	BLACK SMALL SQUARE = square bullet
▫	\u25AB	alt-09643	WHITE SMALL SQUARE
▬	\u25AC	alt-09644	BLACK RECTANGLE
▭	\u25AD	alt-09645	WHITE RECTANGLE
▮	\u25AE	alt-09646	BLACK VERTICAL RECTANGLE = histogram marker
▯	\u25AF	alt-09647	WHITE VERTICAL RECTANGLE
▰	\u25B0	alt-09648	BLACK PARALLELOGRAM
▱	\u25B1	alt-09649	WHITE PARALLELOGRAM
▲	\u25B2	alt-09650	BLACK UP-POINTING TRIANGLE
△	\u25B3	alt-09651	WHITE UP-POINTING TRIANGLE = trine
▴	\u25B4	alt-09652	BLACK UP-POINTING SMALL TRIANGLE
▵	\u25B5	alt-09653	WHITE UP-POINTING SMALL TRIANGLE
▶	\u25B6	alt-09654	BLACK RIGHT-POINTING TRIANGLE
▷	\u25B7	alt-09655	WHITE RIGHT-POINTING TRIANGLE = z notation range restriction
▸	\u25B8	alt-09656	BLACK RIGHT-POINTING SMALL TRIANGLE
▹	\u25B9	alt-09657	WHITE RIGHT-POINTING SMALL TRIANGLE
►	\u25BA	alt-09658	BLACK RIGHT-POINTING POINTER
▻	\u25BB	alt-09659	WHITE RIGHT-POINTING POINTER = forward arrow indicator
▼	\u25BC	alt-09660	BLACK DOWN-POINTING TRIANGLE
▽	\u25BD	alt-09661	WHITE DOWN-POINTING TRIANGLE = Hamilton operator
▾	\u25BE	alt-09662	BLACK DOWN-POINTING SMALL TRIANGLE
▿	\u25BF	alt-09663	WHITE DOWN-POINTING SMALL TRIANGLE
◀	\u25C0	alt-09664	BLACK LEFT-POINTING TRIANGLE
◁	\u25C1	alt-09665	WHITE LEFT-POINTING TRIANGLE = z notation domain restriction
◂	\u25C2	alt-09666	BLACK LEFT-POINTING SMALL TRIANGLE
◃	\u25C3	alt-09667	WHITE LEFT-POINTING SMALL TRIANGLE
◄	\u25C4	alt-09668	BLACK LEFT-POINTING POINTER
◅	\u25C5	alt-09669	WHITE LEFT-POINTING POINTER = backward arrow indicator
◆	\u25C6	alt-09670	BLACK DIAMOND
◇	\u25C7	alt-09671	WHITE DIAMOND
◈	\u25C8	alt-09672	WHITE DIAMOND CONTAINING BLACK SMALL DIAMOND
◉	\u25C9	alt-09673	FISHEYE = tainome Japanese, a kind of bullet
◊	\u25CA	alt-09674	LOZENGE
○	\u25CB	alt-09675	WHITE CIRCLE
◌	\u25CC	alt-09676	DOTTED CIRCLE
◍	\u25CD	alt-09677	CIRCLE WITH VERTICAL FILL
◎	\u25CE	alt-09678	BULLSEYE
●	\u25CF	alt-09679	BLACK CIRCLE
◐	\u25D0	alt-09680	CIRCLE WITH LEFT HALF BLACK
◑	\u25D1	alt-09681	CIRCLE WITH RIGHT HALF BLACK
◒	\u25D2	alt-09682	CIRCLE WITH LOWER HALF BLACK
◓	\u25D3	alt-09683	CIRCLE WITH UPPER HALF BLACK
◔	\u25D4	alt-09684	CIRCLE WITH UPPER RIGHT QUADRANT BLACK
◕	\u25D5	alt-09685	CIRCLE WITH ALL BUT UPPER LEFT QUADRANT BLACK
◖	\u25D6	alt-09686	LEFT HALF BLACK CIRCLE
◗	\u25D7	alt-09687	RIGHT HALF BLACK CIRCLE
◘	\u25D8	alt-09688	INVERSE BULLET
◙	\u25D9	alt-09689	INVERSE WHITE CIRCLE
◚	\u25DA	alt-09690	UPPER HALF INVERSE WHITE CIRCLE
◛	\u25DB	alt-09691	LOWER HALF INVERSE WHITE CIRCLE
◜	\u25DC	alt-09692	UPPER LEFT QUADRANT CIRCULAR ARC
◝	\u25DD	alt-09693	UPPER RIGHT QUADRANT CIRCULAR ARC
◞	\u25DE	alt-09694	LOWER RIGHT QUADRANT CIRCULAR ARC
◟	\u25DF	alt-09695	LOWER LEFT QUADRANT CIRCULAR ARC
◠	\u25E0	alt-09696	UPPER HALF CIRCLE
◡	\u25E1	alt-09697	LOWER HALF CIRCLE
◢	\u25E2	alt-09698	BLACK LOWER RIGHT TRIANGLE
◣	\u25E3	alt-09699	BLACK LOWER LEFT TRIANGLE
◤	\u25E4	alt-09700	BLACK UPPER LEFT TRIANGLE
◥	\u25E5	alt-09701	BLACK UPPER RIGHT TRIANGLE
◦	\u25E6	alt-09702	WHITE BULLET
◧	\u25E7	alt-09703	SQUARE WITH LEFT HALF BLACK
◨	\u25E8	alt-09704	SQUARE WITH RIGHT HALF BLACK
◩	\u25E9	alt-09705	SQUARE WITH UPPER LEFT DIAGONAL HALF BLACK
◪	\u25EA	alt-09706	SQUARE WITH LOWER RIGHT DIAGONAL HALF BLACK
◫	\u25EB	alt-09707	WHITE SQUARE WITH VERTICAL BISECTING LINE
◬	\u25EC	alt-09708	WHITE UP-POINTING TRIANGLE WITH DOT
◭	\u25ED	alt-09709	UP-POINTING TRIANGLE WITH LEFT HALF BLACK
◮	\u25EE	alt-09710	UP-POINTING TRIANGLE WITH RIGHT HALF BLACK
◯	\u25EF	alt-09711	LARGE CIRCLE
Control code graphics

◰	\u25F0	alt-09712	WHITE SQUARE WITH UPPER LEFT QUADRANT
◱	\u25F1	alt-09713	WHITE SQUARE WITH LOWER LEFT QUADRANT
◲	\u25F2	alt-09714	WHITE SQUARE WITH LOWER RIGHT QUADRANT
◳	\u25F3	alt-09715	WHITE SQUARE WITH UPPER RIGHT QUADRANT
◴	\u25F4	alt-09716	WHITE CIRCLE WITH UPPER LEFT QUADRANT
◵	\u25F5	alt-09717	WHITE CIRCLE WITH LOWER LEFT QUADRANT
◶	\u25F6	alt-09718	WHITE CIRCLE WITH LOWER RIGHT QUADRANT
◷	\u25F7	alt-09719	WHITE CIRCLE WITH UPPER RIGHT QUADRANT
Geometric shapes

◸	\u25F8	alt-09720	UPPER LEFT TRIANGLE
◹	\u25F9	alt-09721	UPPER RIGHT TRIANGLE
◺	\u25FA	alt-09722	LOWER LEFT TRIANGLE
◻	\u25FB	alt-09723	WHITE MEDIUM SQUARE = always modal operator
◼	\u25FC	alt-09724	BLACK MEDIUM SQUARE
◽	\u25FD	alt-09725	WHITE MEDIUM SMALL SQUARE
◾	\u25FE	alt-09726	BLACK MEDIUM SMALL SQUARE
◿	\u25FF	alt-09727	LOWER RIGHT TRIANGLE
Weather and astrological symbols

☀	\u2600	alt-09728	BLACK SUN WITH RAYS = clear weather
☁	\u2601	alt-09729	CLOUD = cloudy weather
☂	\u2602	alt-09730	UMBRELLA = rainy weather
☃	\u2603	alt-09731	SNOWMAN = snowy weather
☄	\u2604	alt-09732	COMET
★	\u2605	alt-09733	BLACK STAR
☆	\u2606	alt-09734	WHITE STAR
☇	\u2607	alt-09735	LIGHTNING
☈	\u2608	alt-09736	THUNDERSTORM
☉	\u2609	alt-09737	SUN = alchemical symbol for gold
☊	\u260A	alt-09738	ASCENDING NODE = alchemical symbol for sublimate
☋	\u260B	alt-09739	DESCENDING NODE = alchemical symbol for purify
☌	\u260C	alt-09740	CONJUNCTION = alchemical symbol for day
☍	\u260D	alt-09741	OPPOSITION
Miscellaneous symbols

☎	\u260E	alt-09742	BLACK TELEPHONE
☏	\u260F	alt-09743	WHITE TELEPHONE
☐	\u2610	alt-09744	BALLOT BOX
☑	\u2611	alt-09745	BALLOT BOX WITH CHECK
☒	\u2612	alt-09746	BALLOT BOX WITH X
☓	\u2613	alt-09747	SALTIRE = St. Andrew's Cross
Weather symbol

☔	\u2614	alt-09748	UMBRELLA WITH RAIN DROPS = showery weather
Miscellaneous symbol

☕	\u2615	alt-09749	HOT BEVERAGE = tea or coffee, depending on locale
Japanese chess symbols

☖	\u2616	alt-09750	WHITE SHOGI PIECE
☗	\u2617	alt-09751	BLACK SHOGI PIECE
Miscellaneous symbols

☘	\u2618	alt-09752	SHAMROCK
☙	\u2619	alt-09753	REVERSED ROTATED FLORAL HEART BULLET
Pointing hand symbols

☚	\u261A	alt-09754	BLACK LEFT POINTING INDEX
☛	\u261B	alt-09755	BLACK RIGHT POINTING INDEX
☜	\u261C	alt-09756	WHITE LEFT POINTING INDEX
☝	\u261D	alt-09757	WHITE UP POINTING INDEX
☞	\u261E	alt-09758	WHITE RIGHT POINTING INDEX = fist typographic term
☟	\u261F	alt-09759	WHITE DOWN POINTING INDEX
Warning signs

☠	\u2620	alt-09760	SKULL AND CROSSBONES poison
☡	\u2621	alt-09761	CAUTION SIGN
☢	\u2622	alt-09762	RADIOACTIVE SIGN
☣	\u2623	alt-09763	BIOHAZARD SIGN
Medical and healing symbols

☤	\u2624	alt-09764	CADUCEUS
☥	\u2625	alt-09765	ANKH
Religious and political symbols

☦	\u2626	alt-09766	ORTHODOX CROSS
☧	\u2627	alt-09767	CHI RHO = Constantine's cross, Christogram
☨	\u2628	alt-09768	CROSS OF LORRAINE
☩	\u2629	alt-09769	CROSS OF JERUSALEM
☪	\u262A	alt-09770	STAR AND CRESCENT
☫	\u262B	alt-09771	FARSI SYMBOL = symbol of iran
☬	\u262C	alt-09772	ADI SHAKTI = Gurmukhi khanda
☭	\u262D	alt-09773	HAMMER AND SICKLE
☮	\u262E	alt-09774	PEACE SYMBOL
☯	\u262F	alt-09775	YIN YANG
Yijing trigram symbols

☰	\u2630	alt-09776	TRIGRAM FOR HEAVEN = qian2
☱	\u2631	alt-09777	TRIGRAM FOR LAKE = dui4
☲	\u2632	alt-09778	TRIGRAM FOR FIRE = li2
☳	\u2633	alt-09779	TRIGRAM FOR THUNDER = zhen4
☴	\u2634	alt-09780	TRIGRAM FOR WIND = xun4
☵	\u2635	alt-09781	TRIGRAM FOR WATER = kan3
☶	\u2636	alt-09782	TRIGRAM FOR MOUNTAIN = gen4
☷	\u2637	alt-09783	TRIGRAM FOR EARTH = kun1
Miscellaneous symbol

☸	\u2638	alt-09784	WHEEL OF DHARMA
Emoticons Many other emoticons are encoded in the Emoticons block starting at U+1F600.

☹	\u2639	alt-09785	WHITE FROWNING FACE
☺	\u263A	alt-09786	WHITE SMILING FACE = have a nice day!
☻	\u263B	alt-09787	BLACK SMILING FACE
Miscellaneous symbol

☼	\u263C	alt-09788	WHITE SUN WITH RAYS = compass
Astrological symbols

☽	\u263D	alt-09789	FIRST QUARTER MOON = alchemical symbol for silver
☾	\u263E	alt-09790	LAST QUARTER MOON = alchemical symbol for silver
☿	\u263F	alt-09791	MERCURY = alchemical symbol for quicksilver
♀	\u2640	alt-09792	FEMALE SIGN = Venus = alchemical symbol for copper
♁	\u2641	alt-09793	EARTH = alchemical symbol for antimony
♂	\u2642	alt-09794	MALE SIGN = Mars = alchemical symbol for iron
♃	\u2643	alt-09795	JUPITER = alchemical symbol for tin
♄	\u2644	alt-09796	SATURN = alchemical symbol for lead
♅	\u2645	alt-09797	URANUS
♆	\u2646	alt-09798	NEPTUNE = alchemical symbol for bismuth/tinglass
♇	\u2647	alt-09799	PLUTO
Zodiacal symbols

♈	\u2648	alt-09800	ARIES
♉	\u2649	alt-09801	TAURUS
♊	\u264A	alt-09802	GEMINI
♋	\u264B	alt-09803	CANCER
♌	\u264C	alt-09804	LEO
♍	\u264D	alt-09805	VIRGO = minim alternate glyph
♎	\u264E	alt-09806	LIBRA
♏	\u264F	alt-09807	SCORPIUS = scorpio = minim, drop
♐	\u2650	alt-09808	SAGITTARIUS
♑	\u2651	alt-09809	CAPRICORN
♒	\u2652	alt-09810	AQUARIUS
♓	\u2653	alt-09811	PISCES
Chess symbols

♔	\u2654	alt-09812	WHITE CHESS KING
♕	\u2655	alt-09813	WHITE CHESS QUEEN
♖	\u2656	alt-09814	WHITE CHESS ROOK
♗	\u2657	alt-09815	WHITE CHESS BISHOP
♘	\u2658	alt-09816	WHITE CHESS KNIGHT
♙	\u2659	alt-09817	WHITE CHESS PAWN
♚	\u265A	alt-09818	BLACK CHESS KING
♛	\u265B	alt-09819	BLACK CHESS QUEEN
♜	\u265C	alt-09820	BLACK CHESS ROOK
♝	\u265D	alt-09821	BLACK CHESS BISHOP
♞	\u265E	alt-09822	BLACK CHESS KNIGHT
♟	\u265F	alt-09823	BLACK CHESS PAWN
Playing card symbols

♠	\u2660	alt-09824	BLACK SPADE SUIT
♡	\u2661	alt-09825	WHITE HEART SUIT
♢	\u2662	alt-09826	WHITE DIAMOND SUIT
♣	\u2663	alt-09827	BLACK CLUB SUIT
♤	\u2664	alt-09828	WHITE SPADE SUIT
♥	\u2665	alt-09829	BLACK HEART SUIT = valentine
♦	\u2666	alt-09830	BLACK DIAMOND SUIT
♧	\u2667	alt-09831	WHITE CLUB SUIT
Miscellaneous symbol

♨	\u2668	alt-09832	HOT SPRINGS
Musical symbols

♩	\u2669	alt-09833	QUARTER NOTE = crotchet
♪	\u266A	alt-09834	EIGHTH NOTE = quaver
♫	\u266B	alt-09835	BEAMED EIGHTH NOTES = beamed quavers
♬	\u266C	alt-09836	BEAMED SIXTEENTH NOTES = beamed semiquavers
♭	\u266D	alt-09837	MUSIC FLAT SIGN
♮	\u266E	alt-09838	MUSIC NATURAL SIGN
♯	\u266F	alt-09839	MUSIC SHARP SIGN = z notation infix bag count
Recycling symbols

♲	\u2672	alt-09842	UNIVERSAL RECYCLING SYMBOL
♳	\u2673	alt-09843	RECYCLING SYMBOL FOR TYPE-1 PLASTICS
♴	\u2674	alt-09844	RECYCLING SYMBOL FOR TYPE-2 PLASTICS
♵	\u2675	alt-09845	RECYCLING SYMBOL FOR TYPE-3 PLASTICS
♶	\u2676	alt-09846	RECYCLING SYMBOL FOR TYPE-4 PLASTICS
♷	\u2677	alt-09847	RECYCLING SYMBOL FOR TYPE-5 PLASTICS
♸	\u2678	alt-09848	RECYCLING SYMBOL FOR TYPE-6 PLASTICS
♹	\u2679	alt-09849	RECYCLING SYMBOL FOR TYPE-7 PLASTICS
♺	\u267A	alt-09850	RECYCLING SYMBOL FOR GENERIC MATERIALS
♻	\u267B	alt-09851	BLACK UNIVERSAL RECYCLING SYMBOL
♼	\u267C	alt-09852	RECYCLED PAPER SYMBOL
♽	\u267D	alt-09853	PARTIALLY-RECYCLED PAPER SYMBOL
Miscellaneous symbols

♾	\u267E	alt-09854	PERMANENT PAPER SIGN
♿	\u267F	alt-09855	WHEELCHAIR SYMBOL
Dice

⚀	\u2680	alt-09856	DIE FACE-1
⚁	\u2681	alt-09857	DIE FACE-2
⚂	\u2682	alt-09858	DIE FACE-3
⚃	\u2683	alt-09859	DIE FACE-4
⚄	\u2684	alt-09860	DIE FACE-5
⚅	\u2685	alt-09861	DIE FACE-6
Dictionary and map symbols

⚐	\u2690	alt-09872	WHITE FLAG
⚑	\u2691	alt-09873	BLACK FLAG
⚒	\u2692	alt-09874	HAMMER AND PICK = mining, working day in timetables
⚓	\u2693	alt-09875	ANCHOR = nautical term, harbor on maps
⚔	\u2694	alt-09876	CROSSED SWORDS = military term, battleground on maps, killed in action
⚕	\u2695	alt-09877	STAFF OF AESCULAPIUS = medical term
⚖	\u2696	alt-09878	SCALES = legal term, jurisprudence
⚗	\u2697	alt-09879	ALEMBIC = chemical term, chemistry
⚘	\u2698	alt-09880	FLOWER = botanical term
⚙	\u2699	alt-09881	GEAR = technology, tools
⚚	\u269A	alt-09882	STAFF OF HERMES
⚛	\u269B	alt-09883	ATOM SYMBOL = nuclear installation on maps
Miscellaneous symbols

⚜	\u269C	alt-09884	FLEUR-DE-LIS
⚝	\u269D	alt-09885	OUTLINED WHITE STAR
Symbols for closed captioning from ARIB STD B24

⚞	\u269E	alt-09886	THREE LINES CONVERGING RIGHT = someone speaking
⚟	\u269F	alt-09887	THREE LINES CONVERGING LEFT = background speaking
Miscellaneous symbols

⚠	\u26A0	alt-09888	WARNING SIGN
⚡	\u26A1	alt-09889	HIGH VOLTAGE SIGN = thunder = lightning symbol
Gender symbols

⚢	\u26A2	alt-09890	DOUBLED FEMALE SIGN = lesbianism
⚣	\u26A3	alt-09891	DOUBLED MALE SIGN = male homosexuality
⚤	\u26A4	alt-09892	INTERLOCKED FEMALE AND MALE SIGN = bisexuality
⚥	\u26A5	alt-09893	MALE AND FEMALE SIGN = transgendered sexuality = hermaphrodite in entomology
⚦	\u26A6	alt-09894	MALE WITH STROKE SIGN = transgendered sexuality = alchemical symbol for iron or crocus of iron
⚧	\u26A7	alt-09895	MALE WITH STROKE AND MALE AND FEMALE SIGN = transgendered sexuality
⚨	\u26A8	alt-09896	VERTICAL MALE WITH STROKE SIGN = alchemical symbol for iron
⚩	\u26A9	alt-09897	HORIZONTAL MALE WITH STROKE SIGN = alchemical symbol for iron
Circles

⚪	\u26AA	alt-09898	MEDIUM WHITE CIRCLE = asexuality, sexless, genderless = engaged, betrothed
⚫	\u26AB	alt-09899	MEDIUM BLACK CIRCLE
⚬	\u26AC	alt-09900	MEDIUM SMALL WHITE CIRCLE = engaged, betrothed genealogy
Genealogical symbols

⚭	\u26AD	alt-09901	MARRIAGE SYMBOL
⚮	\u26AE	alt-09902	DIVORCE SYMBOL
⚯	\u26AF	alt-09903	UNMARRIED PARTNERSHIP SYMBOL
⚰	\u26B0	alt-09904	COFFIN = buried genealogy
⚱	\u26B1	alt-09905	FUNERAL URN = cremated genealogy
Gender symbol

⚲	\u26B2	alt-09906	NEUTER
Astrological signs

⚳	\u26B3	alt-09907	CERES
⚴	\u26B4	alt-09908	PALLAS
⚵	\u26B5	alt-09909	JUNO
⚶	\u26B6	alt-09910	VESTA
⚷	\u26B7	alt-09911	CHIRON
⚸	\u26B8	alt-09912	BLACK MOON LILITH
⚹	\u26B9	alt-09913	SEXTILE
⚺	\u26BA	alt-09914	SEMISEXTILE
⚻	\u26BB	alt-09915	QUINCUNX
⚼	\u26BC	alt-09916	SESQUIQUADRATE
Symbols for draughts and checkers

⛀	\u26C0	alt-09920	WHITE DRAUGHTS MAN
⛁	\u26C1	alt-09921	WHITE DRAUGHTS KING
⛂	\u26C2	alt-09922	BLACK DRAUGHTS MAN
⛃	\u26C3	alt-09923	BLACK DRAUGHTS KING
Astronomical symbol

⛢	\u26E2	alt-09954	ASTRONOMICAL SYMBOL FOR URANUS
Pentagram symbols These are mystic or occult symbols.

⛤	\u26E4	alt-09956	PENTAGRAM = pentalpha, pentangle
⛥	\u26E5	alt-09957	RIGHT-HANDED INTERLACED PENTAGRAM
